이름,위치,종류,평점,운영시간,주차가능유무,음식종류,대표메뉴,평균가격
식당1,"0,0",식당,4.5,11:00~18:00,O,일식,ㄱㄷ,15000
식당2,"0,1",식당,5.5,11:00~18:01,O,양식,ㄱㄷ,15001
식당3,"0,2",식당,6.5,11:00~18:02,O,한식,ㄱㄷ,15002
식당4,"0,3",식당,7.5,11:00~18:03,O,중식,ㄱㄷ,15003
식당5,"0,4",식당,8.5,11:00~18:04,O,일식,ㄱㄷ,15004
식당6,"0,5",식당,9.5,11:00~18:05,O,양식,ㄱㄷ,15005
식당7,"0,6",식당,10.5,11:00~18:06,O,한식,ㄱㄷ,15006
식당8,"0,7",식당,11.5,11:00~18:07,O,중식,ㄱㄷ,15007
식당9,"0,8",식당,12.5,11:00~18:08,O,양식,ㄱㄷ,15008
식당10,"0,9",식당,13.5,11:00~18:09,O,일식,ㄱㄷ,15009
식당11,"0,10",식당,14.5,11:00~18:10,O,일식,ㄱㄷ,15010
식당12,"0,11",식당,15.5,11:00~18:11,O,한식,ㄱㄷ,15011
식당13,"0,12",식당,16.5,11:00~18:12,O,양식,ㄱㄷ,15012
식당14,"0,13",식당,17.5,11:00~18:13,O,양식,ㄱㄷ,15013
